rating,title,review
Excelent,"Excellent hotel, clean, safe and affordable!","We were pleased to stay in this excellent hotel which was clean, safe and affordable! We were able to conveniently take the Orange Line Metro from the airport after a long flight from San Francisco to our hotel after only a short walk.   The room and entire hotel were very clean and inviting.   The breakfast the next morning was superb.  It was a buffet near the reception area that was not crowded nor cluttered.  The guests could also eat in a quiet area near the beautiful pool.   This hotel looks out upon an architecturally restored elementary school in the bustling downtown Brickell area.     The reception personnel gave us their suggestions for finding a restaurant and we were well pleased with the results.   At breakfast the next day, other guests were also pleased w/ the"
Excelent,PLEASANTLY SURPRISED,"I was brought here by my fiancé for my surprise birthday weekend getaway. The price was awesome considering the location and it was not far from the beach areas. The parking was easier than it is explained on their website and the rooms were delightful. Because I am a Hilton Honors member we were awarded an upgrade at no additional fee. We were also greeted by the concierge very joyfully and with professionalism. The front desk was very nice and accommodating to us as I mentioned it was my birthday weekend. I loved everything about this hotel, down to the 6th floor pool. If you are worried about safety they have a security guard on the premises 24hrs a day so any time you are coming in or out you will see them. The security was extremely helpful in ensuring we could get in and"
Excelent,"Super clean, friendly staff and perfect location","This hotel was such a breath of fresh air for us. We had stayed in over 15 hotels during our cross country trip and just had left our first really bad experience in a hotel in Miami the night before, which was 3 times the price.   This property is luminous, pristine, well appointed and the staff was warm and professional. It has a corporate feel to it but does not feel cold at all. The suite is so clean and fresh looking. Everything is in the right place and more. We even decided to stay in for dinner. The bed and pillows were so comfortable, we had a hard time getting up in the morning.  The location could not be more perfect. We walked everywhere and saw everything we wanted to see in this beautiful neighbourhood, feeling right in the middle of it. The pool is small but very"
Excelent,"The Nicest Hampton Inn Anywhere! Superior Service, Location & Style","I rarely write reviews but this Hampton Inn is remarkable. My family stayed in two rooms this week for winter break. My wife and I had an updated and well appointed king suite and our 3 teenaged children stayed in a double queen room next door. Our suite had a sitting area for all of us to gather whenever needed and a work space that allowed me to comfortably work from the room. My kids loved going down to the pool, jacuzzi, and fitness center and we never missed the delicious breakfast options and fresh coffee each morning. I find it amazing that this Hampton Inn continues to be TripAdvisor's #1 rated hotel in Miami every year and I understand why. The staff at this hotel really care about you and the quality of your experience. The entire building and grounds are always clean,"
Excelent,Visiting family,"Excellent Service!!! This is by far the nicest Hampton Inn we have ever stayed at. The location, at check-in, the Front Office Manager, John Papazoglou, took care of us personally, he gave us a newly renovated room on the 16th floor. The mattress and bed sheets are so new that we didn’t want to get up every morning. Came to the Front Desk to personally thank Mr. PapZoglou the next day. Everyone has been very attentive and courteous , we are coming back in December, and we will definitely stay at this hotel again. Keep up the great service. Thank you for making our stay so pleasant. Sincerely, Anthony Crosby"
Excelent,A Safe and Welcoming Place in these crazy times,"We stayed 9 nights here while my husband had eye surgery at a nearby hospital. It was stressful to travel in the time of Covid and particularly with that medical emergency. But the hotel was well prepared for safe visits, with sealed rooms on arrival, and limited maid service when requested— but not daily, so we didn’t feel we were constantly exposed to unknown people in the room. We could have clean towels, more coffee, etc on request.  In fact, you could have daily service if desired...we just didn’t want that.The complimentary breakfast was served in a way that gave us a choice of light meals in containers that were then sealed and could be taken back to the room.  The staff was incredibly kind. The concierge was great and arranged to personally bring us a special dinner"
Very Good,Great Property for Downtown Miami,"I loved nearly everything about this hotel. The location was prime for downtown Miami. Our room was 1622 - fridge and microwave included. I like that our hotel key was required to get to our floor for safety reasons.  We were extremely close to the Metromover & Trolleys. We always felt safe walking to the store (7-11 or Publix) or from the Brickell station at night.  BUT, sand (actual sand from the the beach) was on the sheets when I pulled the comforter back. This made me question the cleanliness of our room. We had not gone to the beach and I was just turning the covers back.   I called the front desk immediately. New sheets were brought up. The young man at the desk apologized and offered to switch our rooms but it was a little after 10 p.m. and after a long day of travel, my"
Excelent,Fantastic Location and Delicious Breakfast!,"We had a great stay at this Brickell area Hilton family property. I picked it based on other reviews and the proximity to the AA arena. We came specifically for a concert and this hotel was within a 2 mile radius.   Rooms: We had a comfortable double room. The view was of the city and we had a quiet stay. The bathrooms have a tub and shower and plenty of towels. There are no refrigerators in the room just in case you need one. There is a coffee machine, safe, ice bucket, and tv. The toiletries are from Neutrogena.   Breakfast: Breakfast is included here and it was one of the nicest breakfast buffets I have seen at a Hampton Inn. The foods are so nicely presented with cucumber slices on the meats, crispy European breads and rolls, fresh cut tropical fruit and berries, and tasty"
Excelent,1 night stay pre cruise,"We checked in here after an international flight to stay one night before departing on a cruise.  The hotel is excellent.  We only had a short time the next morning to explore the area so can’t comment much on location, but there are restaurants and a publix very close by.  The hotel itself is exceptionally clean- especially the room, which was large and spacious.  The bed was very comfortable and the bathroom excellent.  There is a coffee maker and fridge and microwave.  The breakfast that is included you also cannot fault - a great selection of hot and cold items and great coffee.  On check in we were given vouchers for a complimentary beer or wine which we enjoyed at the pool area.  The pool is small but otherwise the hotel is excellent and we would stay again"
Excelent,Beautiful and welcoming hotel experience!,"I've been staying at this Hampton Inn location every time I've visited Miami for the past 10 years and it delivers and impresses every time. The environment and decoration is trendy, fun, and inviting. Friendly staff, clean and comfortable rooms, perfect locations. I travel with my family of 5 and all of us love it here. Truly something for everyone! Highly recommend."
Very Good,Great Staff Great Location,Great location for staying in the Brickell area Staff are all very helpful and courteous. Room was clean. Bathroom floor clean but whatever product was used leaves the floor a bit sticky. No big deal if you wear slippers. 
Excelent,Great stay at Hampton Inn Miami Brickell.,"We spent two days at this Hampton after a two week cruise. We wanted to see Miami after many years of just passing through. First the negatives. They are in the middle of a major remodel, so if you are there for leisure, forget about taking a nap in the middle of the day. There is a great deal of noise from around 9:30 am until 6 pm week days. This may be the case until December 2021. Additionally, the hot tub is broken and will be until they can get a part which still could take several more weeks. As for the positive, Nikki who was acting as concierge, and John P., front office manager, are two of the nicest people you will ever meet. They went out of there way to make us feel welcome and assist us in any way they could. The new rooms are beautiful ( we stayed in one) and will"
Very Good,4 night stay,"Enjoyed our stay just ten minutes walk to town centre and places to eat,easy reach for mono rail which runs every few minutes and it’s free.Arrived at hotel just in time for free buffet and beer or wine witch was very handy .room was very nice with separate bedroom didn’t hear any noise at all. Only thing my husband wasn’t happy about was being told off for looking though door that was wide open and unattended we thought it was the stairs, nobody spoke to us or said good morning which made us feel uncomfortable."
Excelent,Perfect location. Amazing service. ,"We stayed at this Hampton inn during a vacation in Miami and found it to be perfect in every way. The location is close to everything but far enough from the noise to get a good night's rest.  The level of service and convenience from the courtesy parking at check-in process to the multi level front desk during peak hours, nothing is overlooked.  The lobby on the 6th floor is exclusively appointed and unlike any other Hampton inn.  Friendly service, well equipped rooms great amenities, parking with in and out privilege make this a top choice for a stay in Miami. "
Excelent,The perfect 5 nights,"I stayed with 2 others in an Elite Level room, not having stayed in a Hampton Inn hotel before. The staff were all very friendly and helpful, especially the room maid who kept it spotless and well stocked. Free bar drinks. Very comfortable room. Perfect for transport links on the doorstep. The breakfast was out of this world with an amazing choice. We were all blown away by the hotel and want to stay again just for the stay!"
Excelent,Center of downtown .,We booked this hotel for 1 night for a cruise but the cruise got cancelled and we ended up staying here for 4 nights . Restaurants around hotel are very pricey you can walk around the area lots of stores and places to go close to the metro mover I think that's what it was called  . The free breakfast was very well planned everything in a bag for breakfast you could want . great staff and nice pool area also . parking around the area is a issue use the garage for a fee .
Very Good,Great location and comfortable,"We were very well received and the check in process was quick.  Our room was spacious and clean.  Beds are comfortable.  The A/C and noise from the hallway was a bit loud but not terrible. a grab and go breakfast and wifi are complimentary.  Parking for guests is $28 but with your hotel key, you can enter and exit as needed. The local makes it easy to walk to many restaurants and downtown buildings."
Average,Just okay,"Breakfast could have been much better. I work in the food industry, and for the price we paid for the room they could of cooked breakfast and put in packages. The rooms were not what the pictures shows that you would get for the prices we paid."
Excelent,Amazing hotel,"What an awesome hotel! The location is great! The service was wonderful! Since the pandemic, you can tell it had an impact on housekeeping services for hotels. We also stay at Hilton properties all time, and we have had some issues that we didn’t have prior to the pandemic. I must say that this hotel housekeeping services were excellent! We were extremely satisfied. We read the reviews prior and decided to give it a try. I’m so glad we did!"
Excelent,Miami Art Weekend,"Our stay was amazing. The room was beautiful, impeccable clean and very spacious. All the staff was welcoming, from the check inn personal to the breakfast staff. Mrs. Luz at the breakfast area was always super attentive and with Christopher they always made sure we had the best start of our day.  We also loved the location, easy walk every night to great restaurants and the mall is 2 blocks away.  We will definitely be back to the Hampton Inn at Brickell !"
